name,primary_position,mlb_team
"Kenedy Corona","CF","HOU"
"Greg Jones","RF","CHW"
"Carter Kieboom","1B","LAA"
"Trey Lipscomb","1B","WSN"
"César Prieto","2B","STL"
"Drew Romo","C","COL"
"Eddie Rosario","DH","2TM"
"Eddie Rosario","DH","LAD"
"Eddie Rosario","RF","ATL"
"Jon Singleton","DH","HOU"
"Brett Sullivan","C","PIT"
"Rhylan Thomas","RF","SEA"
"Steward Berroa","CF","MIL"
"Aramis Garcia","C","ARI"
"Dom Nuñez","C","CLE"
"Donovan Walton","2B","PHI"
"Sergio Alcántara","3B","SFG"
"David Bañuelos","DH","BAL"
"Brewer Hicklen","CF","DET"
"Chuckie Robinson","C","LAD"
"CJ Stubbs","C","WSN"
"Terrin Vavra","2B","BAL"
"Chad Wallach","C","LAA"
